pp,trial,voice_id,condition,response_type,rate
P27,9,robotic,enhance,SoNA,5.0
P27,10,robotic,counter,SoNA,7.0
P27,11,robotic,repeat,SoNA,7.0
P27,12,robotic,enhance,SoNA,4.0
P28,1,clone,counter,SoNA,4.0
P28,2,clone,enhance,SoNA,5.0
P28,3,clone,repeat,SoNA,2.0
P28,4,clone,counter,SoNA,2.0
P28,5,clone,enhance,SoNA,1.5
P28,6,clone,repeat,SoNA,2.0
P28,7,robotic,repeat,SoNA,1.5
P28,8,robotic,enhance,SoNA,5.0
P28,9,robotic,counter,SoNA,7.0
P28,10,robotic,repeat,SoNA,1.0
P28,11,robotic,enhance,SoNA,4.5
P28,12,robotic,counter,SoNA,4.0
P29,1,clone,repeat,SoNA,4.5
P29,2,clone,counter,SoNA,6.0
P29,3,clone,enhance,SoNA,4.0
P29,4,robotic,enhance,SoNA,4.0
P29,5,robotic,counter,SoNA,5.5
P29,6,robotic,repeat,SoNA,2.0
P29,7,robotic,enhance,SoNA,4.0
P29,8,robotic,counter,SoNA,6.0
P29,9,robotic,repeat,SoNA,1.5
P29,10,clone,repeat,SoNA,3.5
P29,11,clone,counter,SoNA,7.0
P29,12,clone,enhance,SoNA,3.5
P30,1,clone,enhance,SoNA,7.0
P30,2,clone,repeat,SoNA,6.0
P30,3,clone,counter,SoNA,7.0
P30,4,clone,enhance,SoNA,5.5
P30,5,clone,repeat,SoNA,5.0
P30,6,clone,counter,SoNA,6.5
P30,7,robotic,counter,SoNA,5.5
P30,8,robotic,repeat,SoNA,6.5
P30,9,robotic,enhance,SoNA,5.5
P30,10,robotic,counter,SoNA,7.0
P30,11,robotic,repeat,SoNA,5.5
P30,12,robotic,enhance,SoNA,4.0
P01,1,clone,repeat,Accept,3.0
P01,2,clone,enhance,Accept,7.0
P01,3,clone,counter,Accept,4.0
P01,4,clone,repeat,Accept,7.0
P01,5,clone,enhance,Accept,7.0
P01,6,clone,counter,Accept,2.0
P01,7,robotic,counter,Accept,2.0
