pp,trial,voice_id,condition,scene_id,1,2,3,4,5,6,7,8,9,ans_sd,SoPA,SoNA,Accept,SoA,Authorship
P05,12,robotic,counter,4,4.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,1.3024701806293193,2.6,5.0,4.0,2.7142857142857144,2.0
P06,1,clone,counter,6,1.0,2.0,1.0,2.0,3.0,5.0,1.0,5.0,1.0,2.3145502494313788,2.4,6.5,1.0,2.142857142857143,2.0
P06,2,clone,repeat,8,7.0,5.0,5.0,6.0,5.0,4.0,5.0,6.0,10.0,1.4577379737113252,5.8,3.0,10.0,5.571428571428571,6.0
P06,3,clone,enhance,10,5.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,7.0,0.8864052604279183,4.2,3.0,7.0,4.428571428571429,4.0
P06,4,clone,counter,12,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.8516401995451028,2.0,6.0,7.0,2.0,2.0
P06,5,clone,repeat,2,7.0,7.0,7.0,6.0,5.0,3.0,5.0,5.0,9.0,2.2320714274285347,5.6,1.0,9.0,6.0,6.0
P06,6,clone,enhance,4,3.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,10.0,1.246423454758225,3.4,5.5,10.0,3.142857142857143,5.0
P06,7,robotic,enhance,5,3.0,2.0,3.0,5.0,3.0,3.0,4.0,4.0,10.0,1.1259916264596033,3.8,5.5,10.0,3.4285714285714284,5.0
P06,8,robotic,repeat,7,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,10.0,0.9910312089651149,4.6,3.0,10.0,4.714285714285714,5.0
P06,9,robotic,counter,9,1.0,1.0,2.0,3.0,2.0,5.0,2.0,3.0,10.0,2.1339098923270936,2.2,6.5,10.0,2.0,3.0
P06,10,robotic,enhance,11,5.0,3.0,5.0,5.0,5.0,4.0,6.0,5.0,10.0,0.8864052604279183,5.2,4.0,10.0,4.857142857142857,5.0
P06,11,robotic,repeat,1,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,10.0,2.2038926600773587,6.2,1.5,10.0,6.285714285714286,6.0
