trial,index,question_text,answer_index,answer_text,pp,SUS
12,8,8. I was not aware of my real environment,7,,P27,7.0
12,9,9. I still paid attention to the real environment,2,,P27,2.0
12,10,10. I was completely captivated by the virtual world,7,,P27,7.0
12,11,11. How real did the virtual world seem to you?,2,,P27,2.0
12,12,12. How much did your experience in the virtual environment seem consistent with your real world experience?,3,,P27,3.0
12,13,13. How real did the virtual world seem to you?,4,,P27,4.0
12,14,14. The virtual world seemed more realistic than the real world,3,,P27,3.0
12,15,15. The movements of the virtual body felt like they were my movements.,4,,P27,4.0
12,16,16. I felt like I was controlling the movements of the virtual body.,2,,P27,2.0
12,1,1. In the computer generated world I had a sense of being there,5,,P05,5.0
12,2,2. Somehow I felt that the virtual world surrounded me,4,,P05,4.0
12,3,3. I felt like I was just perceiving pictures,5,,P05,5.0
12,4,4. I did not feel present in the virtual space,7,,P05,7.0
12,5,5. I had a sense of acting in the virtual space rather than operating something from outside,7,,P05,7.0
12,6,6. I felt present in the virtual space,7,,P05,7.0
12,7,7. How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds / room temperature / other people / etc.),3,,P05,3.0
12,8,8. I was not aware of my real environment,3,,P05,3.0
12,9,9. I still paid attention to the real environment,1,,P05,1.0
12,10,10. I was completely captivated by the virtual world,7,,P05,7.0
12,11,11. How real did the virtual world seem to you?,3,,P05,3.0
12,12,12. How much did your experience in the virtual environment seem consistent with your real world experience?,5,,P05,5.0
12,13,13. How real did the virtual world seem to you?,4,,P05,4.0
12,14,14. The virtual world seemed more realistic than the real world,1,,P05,1.0
12,15,15. The movements of the virtual body felt like they were my movements.,4,,P05,4.0
12,16,16. I felt like I was controlling the movements of the virtual body.,7,,P05,7.0
12,1,1. In the computer generated world I had a sense of being there,5,,P02,5.0
12,2,2. Somehow I felt that the virtual world surrounded me,5,,P02,5.0
12,3,3. I felt like I was just perceiving pictures,3,,P02,3.0
12,4,4. I did not feel present in the virtual space,5,,P02,5.0
